"-- Please select --","-- Please select --"
None,None
"Admin Payment Method","Admin Payment Method"
"Title","Title"
"New Order Status","New Order Status"
Enable,Enable
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Will auto create invoice when choose Yes with Admin Payment Method","Will auto create invoice when choose Yes with Admin Payment Method"
